Año,Trimestre,Provincia,Accesos por cada 100 hogares
2020,3,catamarca,47.16
2020,3,chaco,41.54
2020,3,chubut,68.34
2020,3,córdoba,75.22
2020,3,corrientes,41.75
2020,3,entre ríos,58.19
2020,3,formosa,31.91
2020,3,jujuy,54.04
2020,3,la pampa,79.26
2020,3,la rioja,50.12
2020,3,mendoza,37.35
2020,3,misiones,41.6
2020,3,neuquén,65.24
2020,3,río negro,57.05
2020,3,salta,52.32
2020,3,san juan,38.79
2020,3,san luis,79.96
2020,3,santa cruz,35.95
2020,3,santa fe,72.12
2020,3,santiago del estero,43.38
2020,3,tierra del fuego,76.81
2020,3,tucumán,53.23
2020,2,buenos aires,65.22
2020,2,capital federal,73.74
2020,2,catamarca,45.43
2020,2,chaco,39.83
2020,2,chubut,57.34
2020,2,córdoba,72.71
2020,2,corrientes,40.3
2020,2,entre ríos,56.54
2020,2,formosa,31.14
2020,2,jujuy,47.89
2020,2,la pampa,76.1
2020,2,la rioja,49.84
2020,2,mendoza,36.25
2020,2,misiones,40.89
2020,2,neuquén,63.9
2020,2,río negro,56.37
2020,2,salta,51.58
2020,2,san juan,35.09
2020,2,san luis,78.41
2020,2,santa cruz,35.79
2020,2,santa fe,70.0
2020,2,santiago del estero,43.47
2020,2,tierra del fuego,76.37
2020,2,tucumán,51.78
2020,1,buenos aires,64.33
2020,1,capital federal,73.31
2020,1,catamarca,37.62
2020,1,chaco,37.48
2020,1,chubut,51.27
2020,1,córdoba,70.69
2020,1,corrientes,38.73
2020,1,entre ríos,56.12
2020,1,formosa,30.23
2020,1,jujuy,46.67
2020,1,la pampa,75.77
2020,1,la rioja,46.35
2020,1,mendoza,33.14
2020,1,misiones,39.02
2020,1,neuquén,61.85
2020,1,río negro,55.12
2020,1,salta,49.6
2020,1,san juan,32.39
2020,1,san luis,76.31
2020,1,santa cruz,35.97
2020,1,santa fe,69.52
2020,1,santiago del estero,42.47
2020,1,tierra del fuego,76.07
2020,1,tucumán,47.85
2019,4,buenos aires,64.25
2019,4,capital federal,73.58
2019,4,catamarca,36.44
2019,4,chaco,36.84
2019,4,chubut,51.15
2019,4,córdoba,70.48
2019,4,corrientes,38.77
2019,4,entre ríos,57.99
2019,4,formosa,30.47
2019,4,jujuy,45.38
2019,4,la pampa,76.92
2019,4,la rioja,47.14
2019,4,mendoza,33.65
2019,4,misiones,39.79
2019,4,neuquén,59.36
2019,4,río negro,55.71
2019,4,salta,50.35
2019,4,san juan,32.85
2019,4,san luis,74.92
2019,4,santa cruz,36.71
2019,4,santa fe,69.48
2019,4,santiago del estero,42.92
2019,4,tierra del fuego,79.7
2019,4,tucumán,47.65
2019,3,buenos aires,69.36
2019,3,capital federal,79.98
2019,3,catamarca,30.88
2019,3,chaco,35.85
2019,3,chubut,47.57
2019,3,córdoba,68.59
2019,3,corrientes,38.49
2019,3,entre ríos,57.9
2019,3,formosa,30.11
2019,3,jujuy,44.32
2019,3,la pampa,77.45
2019,3,la rioja,47.94
2019,3,mendoza,40.74
2019,3,misiones,39.33
2019,3,neuquén,64.14
2019,3,río negro,63.42
2019,3,salta,44.48
2019,3,san juan,37.06
2019,3,san luis,85.23
2019,3,santa cruz,35.63
2019,3,santa fe,68.87
2019,3,santiago del estero,55.3
2019,3,tierra del fuego,96.46
2019,3,tucumán,39.49
2019,2,buenos aires,67.85
2019,2,capital federal,77.88
